model,manufacturer,length_m,width_m,height_m,area_m2,cooling_capacity_stated_kw,cooling_capacity_central_estimate_kw,source,link,spot_check,notes,fan_diameter_m,number_of_fans,fan_estimate_diameter_m,type,motor_horsepower
XES3E-1020-07G,BAC,6.12,3.0,3.71,18.35,1001.0,1001.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.85,,3.0
XES15E-1212-09GC,BAC,4.34,3.66,4.24,15.89,1005.0,1005.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES3E-8518-06H,BAC,5.51,2.59,3.4,14.28,1010.0,1010.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4605,,5.0
XES15E-1212-11FN,BAC,5.16,3.66,5.05,18.86,1014.0,1014.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES3E-8518-05J,BAC,5.51,2.59,3.0,14.28,1023.0,1023.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.4605,,7.5
XES15E-1285-10KN,BAC,4.78,2.59,4.78,12.37,1023.0,1023.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
S15E-1285-07MN,BAC,3.45,2.59,3.38,8.95,1036.0,1036.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
XES15E-1212-12FN,BAC,5.56,3.66,5.46,20.35,1049.0,1049.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1212-10GC,BAC,4.75,3.66,4.65,17.37,1058.0,1058.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1212-09GN,BAC,4.34,3.66,4.24,15.89,1067.0,1067.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES3E-1020-06H,BAC,6.12,3.0,3.3,18.35,1071.0,1071.0,Product Catalog,https://www.calameo.com/read/0073621279a1d0c9ca0e2?authid=Ms66hE7oFhAO,,,,1.0,2.85,,5.0
XES15E-1212-07HN,BAC,3.45,3.66,3.38,12.63,1084.0,1084.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.2775,,
XES15E-1212-11GC,BAC,5.16,3.66,5.05,18.86,1089.0,1089.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.477,,
XES15E-1218-07EN,BAC,3.61,5.49,3.61,19.79,1106.0,1106.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,3.4294999999999995,,
S15E-1285-09LN,BAC,4.37,2.59,4.37,11.32,1111.0,1111.0,,https://www.calameo.com/read/007362127e29aeca4d414?authid=Vtd8DMG7ouV6,,,,1.0,2.4605,,
