country,price_usd_per_kwh,country_epoch
Bermuda,0.465,Bermuda
Ireland,0.45,Ireland
Italy,0.414,Italy
Cayman Islands,0.41,Cayman Islands
Germany,0.406,Germany
Belgium,0.406,Belgium
United Kingdom,0.402,United Kingdom of Great Britain and Northern Ireland
Liechtenstein,0.399,Liechtenstein
Switzerland,0.367,Switzerland
Denmark,0.355,Denmark
Austria,0.353,Austria
Czech Republic,0.351,Czech Republic
Bahamas,0.348,Bahamas
Cyprus,0.343,Cyprus
Cape Verde,0.329,Cape Verde
Barbados,0.314,Barbados
Guatemala,0.299,Guatemala
Estonia,0.292,Estonia
Jamaica,0.29,Jamaica
Netherlands,0.286,Netherlands
Lithuania,0.285,Lithuania
Latvia,0.28,Latvia
France,0.276,France
Luxembourg,0.261,Luxembourg
Australia,0.259,Australia
Spain,0.255,Spain
Uruguay,0.255,Uruguay
Greece,0.254,Greece
El Salvador,0.254,El Salvador
Sweden,0.243,Sweden
Portugal,0.239,Portugal
Poland,0.236,Poland
Singapore,0.233,Singapore
Sierra Leone,0.232,Sierra Leone
Honduras,0.231,Honduras
Chile,0.228,Chile
Slovenia,0.228,Slovenia
Japan,0.227,Japan
Mali,0.223,Mali
Romania,0.222,Romania
Belize,0.219,Belize
Kenya,0.219,Kenya
Slovakia,0.215,Slovakia
New Zealand,0.212,New Zealand
Aruba,0.211,Aruba
Rwanda,0.211,Rwanda
Burkina Faso,0.209,Burkina Faso
Philippines,0.209,Philippines (the)
South Africa,0.209,South Africa
Gabon,0.208,Gabon
Colombia,0.207,Colombia
Togo,0.199,Togo
Andorra,0.196,Andorra
United States,0.188,United States of America
Peru,0.186,Peru
Israel,0.185,Israel
Hong Kong,0.184,Hong Kong
Senegal,0.183,Senegal
Croatia,0.181,Croatia
Moldova,0.179,Moldova
Iceland,0.179,Iceland
Nicaragua,0.176,Nicaragua
Panama,0.176,Panama
Finland,0.175,Finland
Uganda,0.171,Uganda
Costa Rica,0.17,Costa Rica
Norway,0.165,Norway
Brazil,0.164,Brazil
Bulgaria,0.155,Bulgaria
Cambodia,0.15,Cambodia
Malta,0.148,Malta
Ghana,0.147,Ghana
Namibia,0.143,Namibia
Mauritius,0.135,Mauritius
Ivory Coast,0.132,Ivory Coast
Madagascar,0.13,Madagascar
Serbia,0.13,Serbia
Swaziland,0.129,Swaziland
N. Maced.,0.129,N. Maced.
Thailand,0.127,Thailand
Mozambique,0.127,Mozambique
South Korea,0.127,Korea (Republic of)
Canada,0.123,Canada
Morocco,0.121,Morocco
Montenegro,0.12,Montenegro
Albania,0.119,Albania
Dom. Rep.,0.115,Dom. Rep.
Sri Lanka,0.114,Sri Lanka
Armenia,0.113,Armenia
Hungary,0.111,Hungary
Mexico,0.109,Mexico
Bosnia & Herz.,0.108,Bosnia & Herz.
Lesotho,0.108,Lesotho
Maldives,0.104,Maldives
Taiwan,0.098,Taiwan
Ecuador,0.097,Ecuador
Botswana,0.094,Botswana
Tanzania,0.091,Tanzania
Jordan,0.09,Jordan
Indonesia,0.09,Indonesia
Malawi,0.088,Malawi
Argentina,0.087,Argentina
Belarus,0.087,Belarus
Cameroon,0.084,Cameroon
Ukraine,0.084,Ukraine
United Arab Emirates,0.08,United Arab Emirates
Vietnam,0.078,Vietnam
India,0.077,India
China,0.076,China
Russia,0.069,Russia
Venezuela,0.069,Venezuela
Tunisia,0.067,Tunisia
Turkey,0.067,Turkey
DR Congo,0.066,DR Congo
Georgia,0.066,Georgia
Bangladesh,0.063,Bangladesh
Pakistan,0.063,Pakistan
Kazakhstan,0.057,Kazakhstan
Trinidad & Tobago,0.057,Trinidad & Tobago
Paraguay,0.055,Paraguay
Afghanistan,0.052,Afghanistan
Saudi Arabia,0.052,Saudi Arabia
Malaysia,0.05,Malaysia
Suriname,0.05,Suriname
Azerbaijan,0.048,Azerbaijan
Bahrain,0.048,Bahrain
Nepal,0.042,Nepal
Algeria,0.041,Algeria
Kuwait,0.04,Kuwait
Uzbekistan,0.039,Uzbekistan
Nigeria,0.036,Nigeria
Laos,0.034,Laos
Qatar,0.032,Qatar
Oman,0.03,Oman
Burma,0.025,Burma
Egypt,0.023,Egypt
Zambia,0.023,Zambia
Sudan,0.017,Sudan
Angola,0.016,Angola
Iraq,0.015,Iraq
Kyrgyzstan,0.015,Kyrgyzstan
Bhutan,0.015,Bhutan
Cuba,0.014,Cuba
Ethiopia,0.006,Ethiopia
Iran,0.003,Iran
