country,year,iso_code,population,co2,co2_per_capita,country_epoch
Zimbabwe,2024,ZWE,16634366.0,13.701,0.824,Zimbabwe
Chad,2024,TCD,20299131.0,2.831,0.139,Chad
Sweden,2024,SWE,10606993.0,38.097,3.592,Sweden
Japan,2024,JPN,123753041.0,961.867,7.772,Japan
Nicaragua,2024,NIC,6916136.0,5.63,0.814,Nicaragua
South Africa,2024,ZAF,64007187.0,439.831,6.872,South Africa
Cambodia,2024,KHM,17638804.0,21.883,1.241,Cambodia
Cote d'Ivoire,2024,CIV,31934229.0,14.829,0.464,Cote d'Ivoire
Somalia,2024,SOM,19009155.0,1.319,0.069,Somalia
Tajikistan,2024,TJK,10590930.0,10.74,1.014,Tajikistan
Micronesia (country),2024,FSM,113171.0,0.151,1.331,Micronesia (country)
Zambia,2024,ZMB,21314962.0,12.043,0.565,Zambia
Croatia,2024,HRV,3875325.0,18.465,4.765,Croatia
Solomon Islands,2024,SLB,819206.0,0.295,0.36,Solomon Islands
Malaysia,2024,MYS,35557670.0,290.224,8.162,Malaysia
Burundi,2024,BDI,14047788.0,0.917,0.065,Burundi
Cuba,2024,CUB,10979781.0,24.44,2.226,Cuba
Slovenia,2024,SVN,2118692.0,12.751,6.018,Slovenia
Curacao,2024,CUW,185482.0,2.29,12.344,Curacao
Tanzania,2024,TZA,68560162.0,20.018,0.292,Tanzania
Malawi,2024,MWI,21655288.0,1.881,0.087,Malawi
Costa Rica,2024,CRI,5129909.0,8.76,1.708,Costa Rica
Moldova,2024,MDA,3034967.0,5.327,1.755,Moldova
Slovakia,2024,SVK,5506759.0,29.091,5.283,Slovakia
Burkina Faso,2024,BFA,23548782.0,6.508,0.276,Burkina Faso
Cyprus,2024,CYP,1358287.0,7.299,5.374,Cyprus
Sint Maarten (Dutch part),2024,SXM,43372.0,0.718,16.546,Sint Maarten (Dutch part)
Czechia,2024,CZE,10735857.0,75.623,7.044,Czechia
Algeria,2024,DZA,46814302.0,198.203,4.234,Algeria
Singapore,2024,SGP,5832387.0,53.919,9.245,Singapore
Monaco,2024,MCO,38657.0,,,Monaco
Thailand,2024,THA,71668010.0,267.76,3.736,Thailand
Bulgaria,2024,BGR,6757686.0,31.622,4.679,Bulgaria
Democratic Republic of Congo,2024,COD,109276264.0,5.904,0.054,Democratic Republic of Congo
Madagascar,2024,MDG,31964960.0,4.528,0.142,Madagascar
Denmark,2024,DNK,5977417.0,28.369,4.746,Denmark
Maldives,2024,MDV,527801.0,2.306,4.369,Maldives
Albania,2024,ALB,2791756.0,4.444,1.592,Albania
Taiwan,2024,TWN,23213964.0,262.345,11.301,Taiwan
Djibouti,2024,DJI,1168726.0,0.564,0.483,Djibouti
Yemen,2024,YEM,40583173.0,10.123,0.249,Yemen
Sierra Leone,2024,SLE,8642029.0,1.434,0.166,Sierra Leone
Dominica,2024,DMA,66226.0,0.171,2.58,Dominica
