country,year,iso_code,carbon_intensity_elec,electricity_generation,fossil_share_elec,low_carbon_share_elec,renewables_share_elec,country_epoch
Comoros,2023,COM,642.86,0.14,100.0,0.0,0.0,Comoros
Dominica,2023,DMA,600.0,0.15,86.667,13.333,13.333,Dominica
Faroe Islands,2023,FRO,346.94,0.49,53.061,46.939,46.939,Faroe Islands
Falkland Islands,2023,FLK,1000.0,0.01,100.0,0.0,0.0,Falkland Islands
French Guiana,2023,GUF,244.9,0.98,34.694,65.306,65.306,French Guiana
Sao Tome and Principe,2023,STP,555.56,0.09,88.889,11.111,11.111,Sao Tome and Principe
Saint Pierre and Miquelon,2023,SPM,600.0,0.05,100.0,0.0,0.0,Saint Pierre and Miquelon
Saint Helena,2023,SHN,1000.0,0.01,100.0,0.0,0.0,Saint Helena
Central African Republic,2023,CAF,0.0,0.14,0.0,100.0,100.0,Central African Republic
Guadeloupe,2023,GLP,497.01,1.67,64.671,35.329,35.329,Guadeloupe
Reunion,2023,REU,394.14,3.07,43.322,56.678,56.678,Reunion
Northern Mariana Islands,2023,MNP,,,,,,Northern Mariana Islands
Niue,2023,NIU,,0.0,,,,Niue
British Virgin Islands,2023,VGB,647.06,0.17,100.0,0.0,0.0,British Virgin Islands
Micronesia (country),2023,FSM,,,,,,Micronesia (country)
Martinique,2023,MTQ,529.8,1.51,74.172,25.828,25.828,Martinique
Western Sahara,2023,ESH,,,,,,Western Sahara
Vanuatu,2023,VUT,500.0,0.08,75.0,25.0,25.0,Vanuatu
United States Virgin Islands,2023,VIR,632.35,0.68,97.059,2.941,2.941,United States Virgin Islands
Tuvalu,2023,TUV,,,,,,Tuvalu
Antarctica,2023,ATA,,,,,,Antarctica
Algeria,2024,DZA,632.94,96.36,98.931,1.069,1.069,Algeria
American Samoa,2024,ASM,611.11,0.18,94.444,5.556,5.556,American Samoa
Angola,2024,AGO,185.38,15.59,26.299,73.701,73.701,Angola
Antigua and Barbuda,2024,ATG,594.6,0.37,91.892,8.108,8.108,Antigua and Barbuda
Turkmenistan,2024,TKM,1306.27,33.01,99.97,0.03,0.03,Turkmenistan
Turks and Caicos Islands,2024,TCA,629.63,0.27,96.296,3.704,3.704,Turks and Caicos Islands
Trinidad and Tobago,2024,TTO,681.68,9.55,99.895,0.105,0.105,Trinidad and Tobago
Afghanistan,2024,AFG,131.31,0.99,13.131,86.869,86.869,Afghanistan
Libya,2024,LBY,826.83,34.59,99.971,0.029,0.029,Libya
Macao,2024,MAC,474.36,0.78,69.231,30.769,30.769,Macao
Madagascar,2024,MDG,432.1,2.43,57.613,42.387,42.387,Madagascar
Malawi,2024,MWI,54.65,1.83,4.372,95.628,95.628,Malawi
Maldives,2024,MDV,611.77,0.85,92.941,7.059,7.059,Maldives
Mali,2024,MLI,538.59,5.96,80.537,19.463,19.463,Mali
Mauritania,2024,MRT,512.08,2.07,77.295,22.705,22.705,Mauritania
Mauritius,2024,MUS,642.23,3.41,82.111,17.889,17.889,Mauritius
Burkina Faso,2024,BFA,562.13,1.69,82.84,17.16,17.16,Burkina Faso
Burundi,2024,BDI,183.67,0.49,24.49,75.51,75.51,Burundi
Cameroon,2024,CMR,225.9,7.26,26.86,73.14,73.14,Cameroon
Lebanon,2024,LBN,389.51,5.34,56.18,43.82,43.82,Lebanon
Lesotho,2024,LSO,,0.0,,,,Lesotho
Liberia,2024,LBR,315.79,0.57,45.614,54.386,54.386,Liberia
Montserrat,2024,MSR,1000.0,0.01,100.0,0.0,0.0,Montserrat
Mozambique,2024,MOZ,129.36,19.79,16.574,83.426,83.426,Mozambique
Myanmar,2024,MMR,502.99,21.71,52.142,47.858,47.858,Myanmar
Namibia,2024,NAM,48.78,1.64,2.439,97.561,97.561,Namibia
Nauru,2024,NRU,600.0,0.05,80.0,20.0,20.0,Nauru
Kiribati,2024,KIR,500.0,0.04,75.0,25.0,25.0,Kiribati
Laos,2024,LAO,232.08,52.31,23.284,76.716,76.716,Laos
Nepal,2024,NPL,24.26,11.13,0.0,100.0,100.0,Nepal
Netherlands Antilles,2024,ANT,,,,,,Netherlands Antilles
New Caledonia,2024,NCL,560.9,3.12,73.077,26.923,26.923,New Caledonia
Nicaragua,2024,NIC,300.89,4.52,37.611,62.389,62.389,Nicaragua
Bhutan,2024,BTN,23.64,11.0,0.0,100.0,100.0,Bhutan
Iraq,2024,IRQ,683.1,149.73,98.377,1.623,1.623,Iraq
Yemen,2024,YEM,592.38,5.25,88.762,11.238,11.238,Yemen
